01184	0100	Yogurt, vanilla or lemon flavor, nonfat milk, sweetened with low-calorie sweetener
01185	0100	Parmesan cheese topping, fat free
01186	0100	Cheese, cream, fat free
01187	0100	Yogurt, chocolate, nonfat milk
01199	0100	Cream, half and half, fat free
01200	0100	Reddi Wip Fat Free Whipped Topping
01203	0100	Yogurt, fruit, lowfat, with low calorie sweetener
01204	0100	Cheese, parmesan, dry grated, reduced fat
01205	0100	Cream substitute, flavored, liquid
01206	0100	Cream substitute, flavored, powdered
01208	0100	Cheese, provolone, reduced fat
01209	0100	Cheese, Mexican, blend, reduced fat
01211	0100	Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D
01212	0100	Milk, dry, whole, without added vitamin D
01214	0100	Milk, canned, evaporated, without added vitamin A and vitamin D
01215	0100	Cheese product, pasteurized process, American, reduced fat, fortified with vitamin D
01216	0100	Yogurt, fruit, low fat, 9 grams protein per 8 ounce, fortified with vitamin D
01217	0100	Yogurt, fruit, low fat, 10 grams protein per 8 ounce, fortified with vitamin D
01218	0100	Yogurt, fruit variety, nonfat, fortified with vitamin D
01219	0100	Yogurt, fruit, lowfat, with low calorie sweetener, fortified with vitamin D
01220	0100	Yogurt, vanilla, low fat, 11 grams protein per 8 ounce, fortified with vitamin D
01221	0100	Yogurt, vanilla or lemon flavor, nonfat milk, sweetened with low-calorie sweetener, fortified with vitamin D
01222	0100	Yogurt, chocolate, nonfat milk, fortified with vitamin D
01223	0100	Protein supplement, milk based, Muscle Milk, powder
01224	0100	Protein supplement, milk based, Muscle Milk Light, powder
01225	0100	Dulce de Leche
01226	0100	Egg substitute, liquid or frozen, fat free
01228	0100	Cheese, fresh, queso fresco
01230	0100	Milk, buttermilk, fluid, whole
01231	0100	Yogurt, vanilla flavor, lowfat milk, sweetened with low calorie sweetener
01235	0100	Yogurt, frozen, flavors not chocolate, nonfat milk, with low-calorie sweetener
01236	0100	Ice cream, soft serve, chocolate
01237	0100	Ice cream, bar or stick, chocolate covered
01238	0100	Ice cream sandwich
01239	0100	Ice cream cookie sandwich
01240	0100	Ice cream cone, chocolate covered, with nuts, flavors other than chocolate
01241	0100	Ice cream sandwich, made with light ice cream, vanilla
01242	0100	Ice cream sandwich, vanilla, light, no sugar added
01243	0100	Fat free ice cream, no sugar added, flavors other than chocolate
01244	0100	Milk dessert bar, frozen, made from lowfat milk
01250	0100	Nutritional supplement for people with diabetes, liquid
01251	0100	Cheese, Mexican blend
01252	0100	Cheese product, pasteurized process, American, vitamin D fortified
01253	0100	Cheese, pasteurized process, American, without added vitamin D
01254	0100	Cheese food, pasteurized process, American, without added vitamin D
01256	0100	Yogurt, Greek, plain, nonfat
01259	0100	Cheese spread, American or Cheddar cheese base, reduced fat
01260	0100	Cheese, cheddar, reduced fat
01263	0100	Ice cream, light, soft serve, chocolate
01264	0100	Ice cream bar, stick or nugget, with crunch coating
01265	0100	Cheese, cheddar, nonfat or fat free
01266	0100	Cheese, Swiss, nonfat or fat free
01267	0100	Cheese, mexican, queso cotija
01270	0100	Cheese, cheddar, sharp, sliced
01271	0100	Cheese, mozzarella, low moisture, part-skim, shredded
01284	0100	Yogurt, Greek, strawberry, lowfat
01285	0100	Yogurt, Greek, strawberry, nonfat
01286	0100	Yogurt, Greek, vanilla, nonfat
01287	0100	Yogurt, Greek, plain, lowfat
01289	0100	Kefir, lowfat, plain, LIFEWAY
01290	0100	Kefir, lowfat, strawberry, LIFEWAY
01291	0100	Milk, evaporated, 2% fat, with added vitamin A and vitamin D
01292	0100	Milk, chocolate, fat free, with added vitamin A and vitamin D
01293	0100	Yogurt, Greek, plain, whole milk
01294	0100	Yogurt, Greek, fruit, whole milk
01295	0100	Yogurt, vanilla, non-fat
01297	0100	Yogurt, Greek, vanilla, lowfat
01298	0100	Yogurt, frozen, flavors other than chocolate, lowfat
01300	0100	Ice cream bar, covered with chocolate and nuts
01301	0100	Ice cream sundae cone
01302	0100	Light ice cream, Creamsicle
01303	0100	Cream, half and half, lowfat
01305	0100	Milk, chocolate, lowfat, reduced sugar
01306	0100	Ice cream, lowfat, no sugar added, cone, added peanuts and chocolate sauce
02003	0200	Spices, basil, dried
02005	0200	Spices, caraway seed
02007	0200	Spices, celery seed
02009	0200	Spices, chili powder
02010	0200	Spices, cinnamon, ground
02011	0200	Spices, cloves, ground
02012	0200	Spices, coriander leaf, dried
02014	0200	Spices, cumin seed
02015	0200	Spices, curry powder
02020	0200	Spices, garlic powder
02021	0200	Spices, ginger, ground
02023	0200	Spices, marjoram, dried
02024	0200	Spices, mustard seed, ground
02025	0200	Spices, nutmeg, ground
02026	0200	Spices, onion powder
02027	0200	Spices, oregano, dried
02028	0200	Spices, paprika
02029	0200	Spices, parsley, dried
02030	0200	Spices, pepper, black
02031	0200	Spices, pepper, red or cayenne
02033	0200	Spices, poppy seed
02034	0200	Spices, poultry seasoning
02035	0200	Spices, pumpkin pie spice
02038	0200	Spices, sage, ground
02042	0200	Spices, thyme, dried
02043	0200	Spices, turmeric, ground
02044	0200	Basil, fresh
